Name (Partei),Typ (C|P) und Subtyp (A), Amtszeit, wikipedia-Artikel, Bild-Link, Bild-Anmerkung
Konrad Adenauer (CDU),C,FROM 15 SEP 1949 TO 16 OCT 1963,Konrad_Adenauer,upload.wikimedia.org/wikipedia/commons/thumb/8/86/Bundesarchiv_B_145_Bild-F078072-0004%2C_Konrad_Adenauer.jpg/220px-Bundesarchiv_B_145_Bild-F078072-0004%2C_Konrad_Adenauer.jpg,"Bundesarchiv: Bild 145 Bild-F078072-0004 / Katherine Young / CC BY-SA 3.0 DE, CC BY-SA 3.0 DE <https://creativecommons.org/licenses/by-sa/3.0/de/deed.en>, via Wikimedia Commons"
Ludwig Erhard (CDU?),C,FROM 16 OCT 1963 TO 1 DEC 1966,Ludwig_Erhard,upload.wikimedia.org/wikipedia/commons/a/a5/Einde_bezoek_bondskanselier_dr_Ludwig_Erhard_en_gaf_persconferentie_in_het_Haag%2C_Bestanddeelnr_916-1325_%28cropped%29.jpg,"Eric Koch for Anefo  / Anefo, CC0, via Wikimedia Commons"
Kurt Georg Kiesinger (CDU),C,FROM 1 DEC 1966 TO 21 OCT 1969,Kurt_Georg_Kiesinger,upload.wikimedia.org/wikipedia/commons/a/a0/Bundesarchiv_B_145_Bild-F029561-0008%2C_Essen%2C_CDU-Bundestagswahlkongress_%28cropped%29.jpg,"Bundesarchiv: Bild 145 Bild-F029561-0008 / Schaack, Lothar / CC-BY-SA 3.0, CC BY-SA 3.0 DE <https://creativecommons.org/licenses/by-sa/3.0/de/deed.en>, via Wikimedia Commons"
Willy Brandt (SPD),C,FROM 21 OCT 1969 TO 7 MAY 1974,Willy_Brandt,,
Walter Scheel (FDP),C (A),FROM 7 MAY 1974 TO 16 MAY 1974,Walter_Scheel,,
Helmut Schmidt (SPD),C,FROM 16 MAY 1974 TO 1 OCT 1982,Helmut_Schmidt,,
Helmut Kohl (CDU),C,FROM 1 OCT 1982 TO 27 OCT 1998,Helmut_Kohl,,
Gerhard Schröder (SPD),C,FROM 27 OCT 1998 TO 22 NOV 2005,Gerhard_Schröder,,
Angela Merkel (CDU),C,FROM 22 NOV 2005 TO 8 DEC 2021,Angela_Merkel,,
Olaf Scholz (SPD),C,FROM 8 DEC 2021,Olaf_Scholz,,
Theodor Heuss (FDP),P,FROM 12 SEP 1949 TO 12 SEP 1959,Theodor_Heuss,upload.wikimedia.org/wikipedia/commons/a/a7/Bundesarchiv_Bild_146-1983-098-20a%2C_Heuss.jpg,"Bundesarchiv: Bild 146-1983-098-20 / CC-BY-SA 3.0 , CC BY-SA 3.0 DE <https://creativecommons.org/licenses/by-sa/3.0/de/deed.en> via Wikimedia Commons"
Heinrich Lübke (CDU),P,FROM 13 SEP 1959 TO 30 JUN 1969,Heinrich_Lübke,upload.wikimedia.org/wikipedia/commons/e/eb/Bundesarchiv_Bild_146-1994-034-22A%2C_Heinrich_L%C3%BCbke.jpg,"Bundesarchiv: Bild 146-1994-034-22A / CC-BY-SA 3.0, CC BY-SA 3.0 DE <https://creativecommons.org/licenses/by-sa/3.0/de/deed.en>, via Wikimedia Commons"
Gustav Heinemann (SPD),P,FROM 1 JUL 1969 TO 30 JUN 1974,Gustav_Heinemann,,
Walter Scheel (FDP),P,FROM 1 JUL 1974 TO 30 JUN 1979,Walter_Scheel,,
Karl Carstens (CDU),P,FROM 1 JUL 1979 TO 30 JUN 1984,Karl_Carstens,,
Richard von Weizsäcker (CDU),P,FROM 1 JUL 1984 TO 30 JUN 1994,Richard_von_Weizsäcker,,
Roman Herzog (CDU),P,FROM 1 JUL 1994 TO 30 JUN 1999,Roman_Herzog,,
Johannes Rau (SPD),P,FROM 1 JUL 1999 TO 30 JUN 2004,Johannes_Rau,,
Horst Köhler (CDU),P.,FROM 1 JUL 2004 TO 31 MAY 2010,Horst_Köhler,,
Christian Wulff (CDU),P,FROM 30 JUN 2010 TO 17 FEB 2012,Christian_Wulff,,
Joachim Gauck (parteilos),P,FROM 18 MAR 2012 TO 18 MAR 2017,Joachim_Gauck,,
Frank-Walter Steinmeier (SPD),P,FROM 19 MAR 2017,Frank-Walter_Steinmeier,,
