Name (Partei),Typ (C|P) und Subtyp (A), Amtszeit, wikipedia-Artikel, Bild-Link, Bild-Anmerkung
########################################################
## FORMAT: webtrees german-chancellors-presidents
## VERSION: 1.0
## AUTHOR: Hermann Hartenthaler, Morph3us2
## CONTACT: https://github.com/hartenthaler/german-chancellors-presidents
########################################################
Konrad Adenauer (CDU),C,FROM 15 SEP 1949 TO 16 OCT 1963,Konrad_Adenauer,upload.wikimedia.org/wikipedia/commons/thumb/8/86/Bundesarchiv_B_145_Bild-F078072-0004%2C_Konrad_Adenauer.jpg/220px-Bundesarchiv_B_145_Bild-F078072-0004%2C_Konrad_Adenauer.jpg,"Bundesarchiv: Bild 145 Bild-F078072-0004 / Katherine Young / CC BY-SA 3.0 DE, CC BY-SA 3.0 DE <https://creativecommons.org/licenses/by-sa/3.0/de/deed.en>, via Wikimedia Commons"
Ludwig Erhard (CDU?),C,FROM 16 OCT 1963 TO 1 DEC 1966,Ludwig_Erhard,upload.wikimedia.org/wikipedia/commons/a/a5/Einde_bezoek_bondskanselier_dr_Ludwig_Erhard_en_gaf_persconferentie_in_het_Haag%2C_Bestanddeelnr_916-1325_%28cropped%29.jpg,"Eric Koch for Anefo  / Anefo, CC0, via Wikimedia Commons"
Kurt Georg Kiesinger (CDU),C,FROM 1 DEC 1966 TO 21 OCT 1969,Kurt_Georg_Kiesinger,upload.wikimedia.org/wikipedia/commons/a/a0/Bundesarchiv_B_145_Bild-F029561-0008%2C_Essen%2C_CDU-Bundestagswahlkongress_%28cropped%29.jpg,"Bundesarchiv: Bild 145 Bild-F029561-0008 / Schaack, Lothar / CC-BY-SA 3.0, CC BY-SA 3.0 DE <https://creativecommons.org/licenses/by-sa/3.0/de/deed.en>, via Wikimedia Commons"
Willy Brandt (SPD),C,FROM 21 OCT 1969 TO 7 MAY 1974,Willy_Brandt,upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Bundesarchiv_B_145_Bild-F057884-0009%2C_Willy_Brandt.jpg/220px-Bundesarchiv_B_145_Bild-F057884-0009%2C_Willy_Brandt.jpg,"Bundesarchiv, B 145 Bild-F057884-0009 / Engelbert Reineke / CC-BY-SA 3.0 DE <https://creativecommons.org/licenses/by-sa/3.0/de/deed.en>, via Wikimedia Commons"
